height,angle,length,width,outer,inner,time
18.3,5.25,150,5,4,0,1.812
18.3,5.25,150,5,4,0.5,1.84
18.3,5.25,150,5,4,0.75,1.858
18.3,5.25,150,5,4,2,1.91
18.3,5.25,150,5,4,3.5,2.022
18.3,5.25,150,5,3,0,1.874
18.3,5.25,150,5,2,0,1.944
18.3,5.25,150,5,1,0,2.076
18.3,5.25,130,5,4,0,1.738
18.3,5.25,110,5,4,0,1.658
18.3,5.25,90,5,4,0,1.46
18.3,5.25,70,5,4,0,1.298
22.8,6.55,150,5,4,0,1.712
27.4,7.87,150,5,4,0,1.562
9.4,2.69,150,5,4,0,2.698
13.8,3.96,150,5,4,0,2.188
18.3,5.25,150,5,5,2,1.952
18.3,5.25,150,5,4,2,2.036
18.3,5.25,150,5,3.5,2,2.094
18.3,5.25,150,5,3,2,2.168
18.3,5.25,150,5,2.5,2,2.272